Date,Currency,Country,Amount,Rate
2025-10-20,USD,United States,1,1.1655
2025-10-20,JPY,Japan,1,175.71
2025-10-20,BGN,Bulgaria,1,1.9558
2025-10-20,CZK,Czech Republic,1,24.29
2025-10-20,DKK,Denmark,1,7.4684
2025-10-20,GBP,United Kingdom,1,0.8691
2025-10-20,HUF,Hungary,1,389.55
2025-10-20,PLN,Poland,1,4.2468
2025-10-20,RON,Romania,1,5.0885
2025-10-20,SEK,Sweden,1,10.99
2025-10-20,CHF,Switzerland,1,0.9239
2025-10-20,ISK,Iceland,1,141.6
2025-10-20,NOK,Norway,1,11.7415
2025-10-20,TRY,Turkey,1,48.9025
2025-10-20,AUD,Australia,1,1.7965
2025-10-20,BRL,Brazil,1,6.3012
2025-10-20,CAD,Canada,1,1.6368
2025-10-20,CNY,China,1,8.3024
2025-10-20,HKD,Hong Kong,1,9.0556
2025-10-20,IDR,Indonesia,1,19303.59
2025-10-20,ILS,Israel,1,3.8595
2025-10-20,INR,India,1,102.4515
2025-10-20,KRW,Korea,1,1659.14
2025-10-20,MXN,Mexico,1,21.4351
2025-10-20,MYR,Malaysia,1,4.9254
2025-10-20,NZD,New Zealand,1,2.0349
2025-10-20,PHP,Philippines,1,67.798
2025-10-20,SGD,Singapore,1,1.5088
2025-10-20,THB,Thailand,1,38.106
2025-10-20,ZAR,South Africa,1,20.1876
